sid;owner_name;owner_passportNum;owner_TIN(SSN);owner_email;owner_phone;property_type;property_area(square feet);property_location;property_distanceFromCenter (miles);property_numberBedrooms;property_numberBathrooms;property_pnumParking;property_centralHeating;property_airconditioned;property_basement;property_loft;property_sunExposure;property_requested_sale_rent_price;property_sale_rent_price (USD);commission(%);contract_duration(months);property_dateAnnounceRequest;property_dateofSale;type_business;store_ID;store_name;store_location;store_phonenumber;store_emailAddress
11;Eva HOPKINSON;711111212;111-11-0101;EvaHOPKINSON2155@yahoo.com;907-488-1520;house;1732;11 E Street, Anchorage, AK, 99501;5;3;3;2;Y;Y;Y;N;N;173000;163392;5;NA;17/01/2001;29/01/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
12;Ivy PARKIN;711111213;111-11-0102;IvyPARKIN2155@hotmail.com;907-488-1521;house;1535;12 E Street, Anchorage, AK, 99501;57;4;2;2;Y;Y;N;Y;S;113964;105182;5;NA;17/01/2001;08/02/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
13;Elsie MCLEARY;711111214;111-11-0103;ElsieMCLEARY2155@hotmail.com;907-488-1522;house;1226;13 E Street, Anchorage, AK, 99501;47;3;2;3;Y;Y;Y;Y;S;193900;185540;5;NA;18/01/2001;24/01/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
14;Isla MCKIE;711111215;111-11-0104;IslaMCKIE2155@hotmail.com;907-488-1523;house;1818;14 E Street, Anchorage, AK, 99501;29;4;2;1;Y;Y;Y;N;E;166500;157980;5;NA;18/01/2001;17/02/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
15;Eva FLOCKHART;711111216;111-11-0105;EvaFLOCKHART2155@gmail.com;907-488-1524;house;1992;15 E Street, Anchorage, AK, 99501;48;3;3;2;Y;Y;Y;N;W;247000;238310;5;NA;18/01/2001;14/02/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
16;Sienna MACBETH;711111217;111-11-0106;SiennaMACBETH2155@gmail.com;907-488-1525;house;1047;16 E Street, Anchorage, AK, 99501;20;2;1;1;Y;Y;Y;N;N;97000;87434;5;NA;18/01/2001;09/02/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
17;Scarlett COLEMAN;711111218;111-11-0107;ScarlettCOLEMAN2155@gmail.com;907-488-1526;house;789;17 E Street, Anchorage, AK, 99501;17;2;1;1;Y;Y;Y;Y;E;112000;110245;5;NA;18/01/2001;29/01/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
18;Hannah ROBERTSON;711111219;111-11-0108;HannahROBERTSON2155@hotmail.com;907-488-1527;house;1517;18 E Street, Anchorage, AK, 99501;58;3;2;0;Y;N;Y;Y;W;112000;104130;5;NA;18/01/2001;16/02/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
19;Aaliyah HOLMES;711111220;111-11-0109;AaliyahHOLMES2155@hotmail.com;907-488-1528;house;1844;19 E Street, Anchorage, AK, 99501;61;3;2;2;Y;Y;Y;N;N;187000;182567;5;NA;18/01/2001;19/01/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
20;Aria MCINALLY;711111221;111-11-0110;AriaMCINALLY2155@yahoo.com;907-488-1529;house;1855;20 E Street, Anchorage, AK, 99501;59;4;2;1;Y;Y;Y;N;N;133900;130870;5;NA;18/01/2001;12/02/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
21;Paige GRANGER;711111222;111-11-0111;PaigeGRANGER2155@gmail.com;907-488-1530;house;1430;21 E Street, Anchorage, AK, 99501;27;3;3;2;Y;Y;Y;N;S;177000;167321;5;NA;18/01/2001;22/01/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
22;Elsie MCFADYEN;711111223;111-11-0112;ElsieMCFADYEN2155@hotmail.com;907-488-1531;house;2696;22 E Street, Anchorage, AK, 99501;39;4;4;3;Y;Y;Y;Y;S;380970;377785;5;NA;18/01/2001;06/02/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
23;Annabelle MACLELLAN;711111224;111-11-0113;AnnabelleMACLELLAN2155@hotmail.com;907-488-1532;house;2259;23 E Street, Anchorage, AK, 99501;55;3;3;2;Y;Y;Y;Y;E;214000;205881;5;NA;18/01/2001;01/02/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
24;Sarah MACLAREN;711111225;111-11-0114;SarahMACLAREN2155@hotmail.com;907-488-1533;house;2320;24 E Street, Anchorage, AK, 99501;13;3;4;1;Y;Y;Y;N;W;256500;253121;5;NA;18/01/2001;30/01/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
25;Jasmine WHITFIELD;711111226;111-11-0115;JasmineWHITFIELD2155@gmail.com;907-488-1534;house;1458;25 E Street, Anchorage, AK, 99501;67;2;3;2;Y;Y;Y;N;N;173000;168790;5;NA;18/01/2001;07/02/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
26;Thea SLAVIN;711111227;111-11-0116;TheaSLAVIN2155@yahoo.com;907-488-1535;house;1092;26 E Street, Anchorage, AK, 99501;36;3;2;1;Y;Y;Y;N;E;136000;126279;5;NA;18/01/2001;02/02/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
27;Elizabeth WIGHT;711111228;111-11-0117;ElizabethWIGHT2155@gmail.com;907-488-1536;house;1125;27 E Street, Anchorage, AK, 99501;11;2;2;2;Y;Y;Y;Y;W;152000;142649;5;NA;18/01/2001;22/01/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
28;Billie CAREY;711111229;111-11-0118;BillieCAREY2155@gmail.com;907-488-1537;house;3222;28 E Street, Anchorage, AK, 99501;23;5;4;3;Y;Y;Y;Y;N;317000;310444;5;NA;19/01/2001;14/02/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
29;Paige BREMNER;711111230;111-11-0119;PaigeBREMNER2155@gmail.com;907-488-1538;house;1456;29 E Street, Anchorage, AK, 99501;25;3;3;2;Y;Y;Y;N;N;160990;157922;5;NA;19/01/2001;12/02/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
30;Rose HOLLIDAY;711111231;111-11-0120;RoseHOLLIDAY2155@gmail.com;907-488-1539;house;988;30 E Street, Anchorage, AK, 99501;49;1;2;2;Y;Y;Y;N;S;177000;173334;5;NA;19/01/2001;07/02/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
31;Brooklyn LIU;711111232;111-11-0121;BrooklynLIU2155@hotmail.com;907-488-1540;house;1123;31 E Street, Anchorage, AK, 99501;1;3;1;1;Y;Y;Y;N;S;97000;95250;5;NA;19/01/2001;17/02/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
32;Lucy RAHMAN;711111233;111-11-0122;LucyRAHMAN2155@hotmail.com;907-488-1541;house;1080;32 E Street, Anchorage, AK, 99501;44;3;1;1;Y;Y;Y;Y;E;133000;126203;5;NA;19/01/2001;12/02/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
33;Eliza PATERSON;711111234;111-11-0123;ElizaPATERSON2155@hotmail.com;907-488-1542;house;1199;33 E Street, Anchorage, AK, 99501;35;2;2;2;Y;Y;Y;Y;W;150900;145488;5;NA;19/01/2001;01/02/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
34;Charlie MEARNS;711111235;111-11-0124;CharlieMEARNS2155@gmail.com;907-488-1543;house;1586;34 E Street, Anchorage, AK, 99501;35;3;2;2;Y;Y;Y;N;N;178000;175657;5;NA;19/01/2001;14/02/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
35;Aurora MCCOLM;711111236;111-11-0125;AuroraMCCOLM2155@yahoo.com;907-488-1544;house;754;35 E Street, Anchorage, AK, 99501;26;2;2;0;Y;N;Y;N;E;81500;72833;5;NA;19/01/2001;05/02/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
36;Aurora PATE;711111237;111-11-0126;AuroraPATE2155@yahoo.com;907-488-1545;house;958;36 E Street, Anchorage, AK, 99501;22;2;2;2;Y;Y;Y;N;W;125000;121897;5;NA;19/01/2001;12/02/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
37;Grace MOODY;711111238;111-11-0127;GraceMOODY2155@gmail.com;907-488-1546;house;840;37 E Street, Anchorage, AK, 99501;63;3;1;0;Y;Y;Y;Y;N;84000;76379;5;NA;19/01/2001;31/01/2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
38;Elsie CHEUNG;711111239;111-11-0128;ElsieCHEUNG2155@gmail.com;907-488-1547;house;1348;2526 East Camelback Road, Phoenix, AZ, 85016;11;3;2;2;Y;Y;Y;Y;N;152000;149592;5;NA;19/01/2001;30/01/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
39;Thea MCMICHAEL;711111240;111-11-0129;TheaMCMICHAEL2155@hotmail.com;907-488-1548;house;1053;2527 East Camelback Road, Phoenix, AZ, 85016;14;3;3;2;Y;Y;Y;N;S;147000;143215;5;NA;19/01/2001;31/01/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
40;Willow HALL;711111241;111-11-0130;WillowHALL2155@hotmail.com;907-488-1549;house;2157;2528 East Camelback Road, Phoenix, AZ, 85016;0;4;3;2;Y;Y;Y;N;S;223000;214692;5;NA;19/01/2001;19/01/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
41;Leah MACFADYEN;711111242;111-11-0131;LeahMACFADYEN2155@gmail.com;907-488-1550;house;2054;2529 East Camelback Road, Phoenix, AZ, 85016;49;3;4;2;Y;Y;Y;N;E;241000;235359;5;NA;19/01/2001;22/01/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
42;Ella OATES;711111243;111-11-0132;EllaOATES2155@hotmail.com;907-488-1551;house;1327;2530 East Camelback Road, Phoenix, AZ, 85016;55;3;2;2;Y;Y;Y;Y;W;147750;144750;5;NA;19/01/2001;07/02/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
43;Ellie QUEEN;711111244;111-11-0133;EllieQUEEN2155@yahoo.com;907-488-1552;house;1296;2531 East Camelback Road, Phoenix, AZ, 85016;37;2;3;2;Y;Y;Y;Y;N;217000;208006;5;NA;20/01/2001;19/02/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
44;Victoria WILLS;711111245;111-11-0134;VictoriaWILLS2155@hotmail.com;907-488-1553;house;1721;2532 East Camelback Road, Phoenix, AZ, 85016;27;3;3;2;Y;Y;Y;N;E;177000;171016;5;NA;20/01/2001;12/02/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
45;Sadie DALLAS;711111246;111-11-0135;SadieDALLAS2155@hotmail.com;907-488-1554;house;1682;2533 East Camelback Road, Phoenix, AZ, 85016;20;3;2;2;Y;Y;Y;N;W;171000;166513;5;NA;20/01/2001;08/02/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
46;Eden SEYMOUR;711111247;111-11-0136;EdenSEYMOUR2155@yahoo.com;907-488-1555;house;1214;2534 East Camelback Road, Phoenix, AZ, 85016;36;3;2;1;Y;Y;Y;N;N;140000;138439;5;NA;20/01/2001;15/02/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
47;Stella HAMPTON;711111248;111-11-0137;StellaHAMPTON2155@yahoo.com;907-488-1556;house;1959;2535 East Camelback Road, Phoenix, AZ, 85016;35;5;3;3;Y;Y;Y;Y;N;168000;165528;5;NA;20/01/2001;14/02/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
48;Emily DALGARNO;711111249;111-11-0138;EmilyDALGARNO2155@hotmail.com;907-488-1557;house;1852;2536 East Camelback Road, Phoenix, AZ, 85016;57;3;3;3;Y;Y;Y;Y;S;227000;225152;5;NA;20/01/2001;12/02/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
49;Aaliyah WISHART;711111250;111-11-0139;AaliyahWISHART2155@hotmail.com;907-488-1558;house;1764;2537 East Camelback Road, Phoenix, AZ, 85016;48;3;4;2;Y;Y;Y;N;S;228500;221478;5;NA;20/01/2001;31/01/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
50;Peyton MOWBRAY;711111251;111-11-0140;PeytonMOWBRAY2155@hotmail.com;907-488-1559;house;864;2538 East Camelback Road, Phoenix, AZ, 85016;16;3;1;0;Y;Y;Y;N;E;112000;110317;5;NA;20/01/2001;14/02/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
51;Brooklyn FERRIE;711111252;111-11-0141;BrooklynFERRIE2155@hotmail.com;907-488-1560;house;1734;2539 East Camelback Road, Phoenix, AZ, 85016;61;3;3;2;Y;Y;Y;N;W;257000;250250;5;NA;20/01/2001;05/02/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
52;Matilda PETER;711111253;111-11-0142;MatildaPETER2155@yahoo.com;907-488-1561;house;1385;2540 East Camelback Road, Phoenix, AZ, 85016;43;4;2;2;Y;Y;Y;Y;N;163000;160424;5;NA;20/01/2001;03/02/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
53;Sofia COPLAND;711111254;111-11-0143;SofiaCOPLAND2155@hotmail.com;907-488-1562;house;1501;2541 East Camelback Road, Phoenix, AZ, 85016;68;3;3;2;Y;Y;Y;Y;E;201000;197837;5;NA;20/01/2001;10/02/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
54;Aria CUMMINGS;711111255;111-11-0144;AriaCUMMINGS2155@gmail.com;907-488-1563;house;1728;2542 East Camelback Road, Phoenix, AZ, 85016;65;6;3;2;Y;Y;Y;N;W;122000;120109;5;NA;20/01/2001;05/02/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
55;Stella REEVES;711111256;111-11-0145;StellaREEVES2155@yahoo.com;907-488-1564;house;1709;2543 East Camelback Road, Phoenix, AZ, 85016;2;3;2;2;Y;Y;Y;N;N;127000;117877;5;NA;20/01/2001;26/01/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
56;Stella CLUNIE;711111257;111-11-0146;StellaCLUNIE2155@gmail.com;907-488-1565;house;875;2544 East Camelback Road, Phoenix, AZ, 85016;26;2;2;1;Y;Y;Y;N;N;102000;94531;5;NA;20/01/2001;17/02/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
57;Willow MCGUIGAN;711111258;111-11-0147;WillowMCGUIGAN2155@gmail.com;907-488-1566;house;2035;2545 East Camelback Road, Phoenix, AZ, 85016;46;3;3;2;Y;Y;Y;Y;S;222500;222363;5;NA;20/01/2001;29/01/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
58;Zara HOPE;711111259;111-11-0148;ZaraHOPE2155@gmail.com;907-488-1567;house;1080;2546 East Camelback Road, Phoenix, AZ, 85016;10;3;2;0;Y;Y;Y;Y;S;141000;137401;5;NA;22/01/2001;30/01/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
59;Ella PENNY;711111260;111-11-0149;EllaPENNY2155@gmail.com;907-488-1568;house;1344;2547 East Camelback Road, Phoenix, AZ, 85016;15;3;1;1;Y;Y;Y;N;E;115000;112811;5;NA;22/01/2001;08/02/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
60;Zoey SCOTT;711111261;111-11-0150;ZoeySCOTT2155@yahoo.com;907-488-1569;house;969;2548 East Camelback Road, Phoenix, AZ, 85016;18;3;2;2;Y;Y;Y;N;W;122000;115780;5;NA;22/01/2001;24/01/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
61;Grace GRIFFIN;711111262;111-11-0151;GraceGRIFFIN2155@gmail.com;907-488-1570;house;1710;2549 East Camelback Road, Phoenix, AZ, 85016;12;2;3;3;Y;Y;Y;N;N;372402;366828;5;NA;22/01/2001;05/02/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
62;Evelyn CAIRD;711111263;111-11-0152;EvelynCAIRD2155@gmail.com;907-488-1571;house;1993;2550 East Camelback Road, Phoenix, AZ, 85016;43;4;3;2;Y;Y;Y;Y;E;190000;185649;5;NA;22/01/2001;06/02/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
63;Jessica MCPHEE;711111264;111-11-0153;JessicaMCPHEE2155@yahoo.com;907-488-1572;house;1252;2551 East Camelback Road, Phoenix, AZ, 85016;34;1;2;2;Y;Y;Y;Y;W;235000;233808;5;NA;22/01/2001;23/01/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
64;Rose MCNICOL;711111265;111-11-0154;RoseMCNICOL2155@yahoo.com;907-488-1573;house;1200;2552 East Camelback Road, Phoenix, AZ, 85016;49;4;1;1;Y;Y;Y;N;N;125000;118302;5;NA;22/01/2001;01/02/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
65;Eliza MILROY;711111266;111-11-0155;ElizaMILROY2155@yahoo.com;907-488-1574;house;1096;2553 East Camelback Road, Phoenix, AZ, 85016;54;2;1;0;Y;N;Y;N;N;79000;73942;5;NA;22/01/2001;31/01/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
66;Thea SOMERVILLE;711111267;111-11-0156;TheaSOMERVILLE2155@hotmail.com;907-488-1575;house;1040;2554 East Camelback Road, Phoenix, AZ, 85016;52;2;1;2;Y;Y;N;N;S;109500;107816;5;NA;22/01/2001;27/01/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
67;Billie ELDER;711111268;111-11-0157;BillieELDER2155@hotmail.com;907-488-1576;house;1968;2555 East Camelback Road, Phoenix, AZ, 85016;68;4;3;3;Y;Y;Y;Y;S;269500;260016;5;NA;22/01/2001;17/02/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
68;Sienna GAMBLE;711111269;111-11-0158;SiennaGAMBLE2155@gmail.com;907-488-1577;house;1947;2556 East Camelback Road, Phoenix, AZ, 85016;49;3;3;2;Y;Y;Y;Y;E;254900;254345;5;NA;22/01/2001;13/02/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
69;Zoe DEMPSTER;711111270;111-11-0159;ZoeDEMPSTER2155@hotmail.com;907-488-1578;house;2462;2557 East Camelback Road, Phoenix, AZ, 85016;70;4;4;2;Y;Y;Y;N;W;320000;312622;5;NA;22/01/2001;23/01/2001;sale;3;Phoenix;2525 East Camelback Road, Phoenix, AZ, 85016;602-474-8350;phoenix@realstateUSA.com
70;Luna MATTHEWS;711111184;111-11-0073;LunaMATTHEWS2155@gmail.com;907-488-1492;house;1086;15000 Center Court Dr. N, Cerritos, CA, 90703;27;3;2;2;Y;Y;Y;Y;N;139900;131659;5;NA;16/01/2001;08/02/2001;sale;4;Cerritos;17777 Center Court Dr. N, Cerritos, CA, 90703;562-345-9200;cerritos@realstateUSA.com
71;Freya STOREY;711111185;111-11-0074;FreyaSTOREY2155@yahoo.com;907-488-1493;house;1605;15001 Center Court Dr. N, Cerritos, CA, 90703;69;3;2;1;Y;N;Y;N;N;102400;99493;5;NA;16/01/2001;08/02/2001;sale;4;Cerritos;17777 Center Court Dr. N, Cerritos, CA, 90703;562-345-9200;cerritos@realstateUSA.com
72;Quinn COSGROVE;711111186;111-11-0075;QuinnCOSGROVE2155@gmail.com;907-488-1494;house;988;15002 Center Court Dr. N, Cerritos, CA, 90703;35;2;2;1;Y;Y;Y;N;S;86000;78620;5;NA;16/01/2001;10/02/2001;sale;4;Cerritos;17777 Center Court Dr. N, Cerritos, CA, 90703;562-345-9200;cerritos@realstateUSA.com
73;Isabella CASSIDY;711111187;111-11-0076;IsabellaCASSIDY2155@hotmail.com;907-488-1495;house;952;15003 Center Court Dr. N, Cerritos, CA, 90703;62;2;1;1;Y;Y;Y;N;S;130750;127833;5;NA;16/01/2001;12/02/2001;sale;4;Cerritos;17777 Center Court Dr. N, Cerritos, CA, 90703;562-345-9200;cerritos@realstateUSA.com
